,title,tempo,zcr_mean,zcr_var,rmse_mean,rmse_var,centroid_mean,centroid_var,bandwidth_mean,bandwidth_var,contrast_mean,contrast_var,rolloff_mean,rolloff_var,flatness_mean,flatness_var,tempogram_ratio_mean,tempogram_ratio_var,harmonic_mean,harmonic_var,percussive_mean,percussive_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
0,blues.00000.wav,123.046875,0.08304482066898686,0.0007669456545940504,0.07826683459526035,0.0012928757182418238,1784.1226409867395,129745.48453872248,2002.4124070990924,85834.4103621946,20.523289104984585,76.80119100984597,3805.7230301080335,901252.916706492,0.0044955737,3.0314568e-05,0.49206843295327457,0.01651425808044123,-4.90663e-05,0.008172463,-1.0618483e-05,0.005704438,-113.59882,2569.3694,121.57067,295.8471,-19.162262,235.58444,42.363937,151.03874,-6.362266,167.99289,18.621931,89.17242,-13.699734,67.60309,15.339802,69.001495,-12.274304,82.21985,10.970945,63.346542,-8.326061,61.76499,8.802088,51.280754,-3.6699414,41.215897,5.7446756,40.51752,-5.162783,49.784233,0.7517064,52.424534,-1.687854,36.535866,-0.40872997,41.60317,-2.3026767,55.053654,1.2224671,46.94135
1,blues.00001.wav,67.99958881578948,0.05603980870552978,0.001447521491359064,0.05750406802859248,0.0010338669405733792,1530.2617668815155,375915.50852199737,2038.987608168796,213905.10295057186,20.672485756359524,67.8618450598419,3550.7136156830047,2978310.9040219653,0.0022980976,2.3548295e-05,0.3161376537612859,0.016343832225485407,0.00014128137,0.0051013343,-0.0001796235,0.0030642096,-207.52383,7769.1045,123.98514,559.9134,8.94702,572.3363,35.86715,264.7167,2.9095943,279.97607,21.519472,156.3668,-8.556513,200.80203,23.370676,142.56712,-10.103609,166.11464,11.899242,104.35725,-5.558824,105.15637,5.3778763,96.20453,-2.2344916,64.87307,4.220704,73.15042,-6.0106864,52.429462,0.92929417,55.337963,-0.728403,60.231407,0.29687235,48.133213,-0.28243044,51.106014,0.5306445,45.7887
2,blues.00002.wav,161.4990234375,0.07629120746326373,0.0010068290788351824,0.10605507150177002,0.0013350489055977577,1552.8324813719914,156471.01101167462,1747.7540869151055,76295.4134578476,22.191291984559946,76.1225977975675,3042.4101154654873,784130.8743978116,0.002635016,1.1241475e-05,0.4118130249994319,0.012489467014933203,-1.8167423e-06,0.016344344,-2.0188567e-05,0.0074642007,-90.757164,3317.887,140.44087,508.85614,-29.084547,412.06442,31.686693,143.95422,-13.976547,155.66135,25.753752,74.391716,-13.664991,106.84102,11.634442,106.52026,-11.778322,65.48225,9.714756,67.84235,-13.125314,57.67196,5.7912464,64.49476,-8.901966,60.390583,-1.0801601,57.69023,-9.226244,36.514374,2.4483044,40.641678,-7.7248397,47.629646,-1.819024,52.393597,-3.4404576,46.6434,-2.2381277,30.65315
3,blues.00003.wav,63.02400914634146,0.03330886262567672,0.00042275898709484,0.08508513225390879,0.0026021441939475484,1070.1534179991847,184366.0093845834,1596.422564648525,166551.8443226404,21.423621104847665,63.38676321568147,2184.8790286035382,1493077.8489404472,0.00095489,2.6640141e-06,0.3154701024013761,0.015939560694364002,3.6126085e-06,0.019055042,-1.8110994e-05,0.0027113643,-199.57513,5508.2666,150.0861,456.30908,5.663404,257.10977,26.855278,158.36113,1.7700715,267.97372,14.232647,126.80743,-4.827845,155.94673,9.286853,81.2703,-0.75612015,92.3018,8.134435,71.381836,-3.200026,110.26935,6.0780816,48.21452,-2.478445,56.776222,-1.081587,62.243004,-2.8744543,51.60982,0.77399397,44.432903,-3.3240688,50.218452,0.6363106,37.325726,-0.6159676,37.257774,-3.405046,31.965254
4,blues.00004.wav,135.99917763157896,0.10146053871809745,0.0019541247020998685,0.05496870687847208,0.0009828651747101063,1835.1285128875493,343249.49574738194,1748.4107586184412,88378.70449170569,21.459618026724748,63.03389242490765,3579.9574708164155,1572336.2989541132,0.0032402172,1.8973828e-05,0.42810991263122644,0.012260535277824313,-1.845967e-05,0.004814488,-9.5450405e-06,0.0030943628,-160.35417,5199.1035,126.20948,853.27124,-35.581394,334.03235,22.139256,193.75323,-32.47355,336.4254,10.850701,134.86504,-23.35007,93.29354,0.49324894,124.73352,-11.796539,129.97539,1.2035193,99.71714,-13.084959,80.243164,-2.8104992,86.43649,-6.9344707,89.548325,-7.5538754,70.91569,-9.167669,75.75422,-4.515863,85.99519,-5.451786,75.27674,-0.9159524,53.633236,-4.4080176,62.882492,-11.704385,55.190254
5,blues.00005.wav,69.83741554054055,0.09404153373936582,0.006233195614802252,0.0623900006367519,0.0016155951438940053,1832.0115969793162,1030483.8309652422,1729.5808045469614,201846.07407526343,22.542615507196338,66.88354956049596,3481.4676306917054,3274386.1962247384,0.0030588878,4.1991672e-05,0.30925992303483396,0.015270467475516815,2.1072833e-06,0.008084326,-2.7619379e-05,0.0032444787,-177.80176,7307.4546,118.20316,3195.2053,-17.57063,654.1079,30.760931,485.68976,-21.742554,433.27664,11.919263,266.4076,-20.734299,169.70601,3.1852882,133.70337,-8.580818,172.22575,-0.9328852,100.121,-11.772245,76.554756,-2.4087636,78.802635,-9.348446,80.10772,-9.942636,47.53443,-3.9021835,60.0207,-5.574562,72.576744,-1.8393143,68.666115,-2.7893167,42.470524,-3.0478048,39.803387,-8.109732,46.282936
6,blues.00006.wav,71.77734375,0.07305223740815932,0.0019091706678011008,0.08503317381287696,0.003606862702855616,1459.4696906334664,438024.99814577453,1389.0684455609621,185156.3211962846,23.42114998560874,49.579016959633464,2795.910729498985,1621507.809656879,0.00097564387,8.293759e-06,0.3050950136820794,0.012189254850418881,-1.1749534e-05,0.016931476,-2.0181798e-05,0.005955405,-190.06882,9653.348,130.27023,1933.7037,-36.362114,1307.0305,33.036217,480.19315,11.093892,1082.9683,-0.5918819,280.1115,-20.890266,151.6834,0.27844238,102.85332,-6.496385,131.09851,-5.5127354,153.40236,-7.847404,87.50639,-3.1243007,64.21006,-6.6028223,79.14686,-9.95,63.038452,-6.5426893,86.344986,-10.0722275,83.25455,-10.918623,56.950497,-6.9652433,38.267097,-3.439432,48.163647,-6.484499,70.21345
7,blues.00007.wav,92.28515625,0.061442246108855375,0.0018488162723341102,0.07925199136248366,0.0023075374023193342,1451.8594135288934,449601.6407097198,1577.5671155774064,168197.59948964932,22.43554729232493,52.46994715240796,2955.3197165929523,1629557.4144231493,0.0014387746,1.03398215e-05,0.3845274325843272,0.011590660626846983,1.855002e-05,0.013231742,-4.8325477e-05,0.004836919,-179.3723,6573.5034,136.44833,1479.0457,-26.662588,591.2087,39.96545,353.4062,5.3108935,650.0896,10.919133,136.28798,-20.559534,163.69316,8.503361,151.28441,-11.349764,171.91977,-3.470555,178.22743,-8.415842,147.5609,-6.957211,83.71853,-3.5460427,93.2653,-8.051759,57.423862,-8.964918,82.259476,-8.427482,70.46944,-10.5642805,52.018356,-10.785658,60.507183,-4.6954694,65.581085,-8.631641,56.38694
8,blues.00008.wav,83.35433467741936,0.06402488761600927,0.0007314817438538322,0.08618034909279985,0.0007362035427853668,1719.4633657482495,163308.43298305827,2031.8293659086537,105565.9242806774,22.371989710234367,89.26038500164822,3782.441190998405,1262984.5682501604,0.002596804,9.283382e-06,0.4901087870980559,0.021917180306419832,-1.5161455e-06,0.012705841,-2.0980322e-05,0.003465587,-121.38979,2619.6743,122.49833,414.5375,-14.734729,341.22403,46.122135,193.91733,-8.179258,177.07607,20.172466,106.94689,-19.171894,57.659283,23.036839,77.1547,-11.832729,42.568737,21.154655,58.8517,-6.7227974,48.918488,6.989506,56.535202,-12.730549,61.94805,5.0585384,50.54711,-5.1858063,33.02635,-1.4536041,50.578175,-7.042629,28.908443,2.694213,36.896122,3.4095309,33.671597,-2.7137442,36.34232
9,blues.00009.wav,80.74951171875,0.07917482356921887,0.0013776590528174816,0.04913152125478101,0.0016935215454616011,1817.2305903199676,298141.4244144362,1973.7920387975744,114140.14449366284,21.15661982048843,63.3032087710566,3943.8319655416185,1366784.3467715923,0.0027108472,1.03377415e-05,0.5054167625584127,0.011390550605677879,-4.361861e-06,0.007221093,-2.4223738e-05,0.0016771486,-213.26424,6132.9727,115.16476,798.2638,-11.69817,669.0846,39.015358,350.93393,-20.34833,531.99756,13.082702,278.2447,-9.182701,126.45182,9.017152,67.96417,-14.104312,110.09561,4.2712545,92.60268,-6.0507803,84.85938,3.7858355,104.41364,0.22263557,76.34565,-5.1068816,85.42631,-0.41015333,103.98576,-1.1793448,59.323414,-1.9147079,58.461433,-2.2936609,83.12304,2.8842604,77.04225,-4.233879,91.44655
